No.;Latitude;Longitude;Nama Faskes;;;
1.;-6.259511;106.651619;RS Islam Assobhirin;;;
2.;-6.245007;106.651108;RS EMC Alam Sutera;;;
3.;-6.284279;106.667677;RS Medika BSD;;;
4.;-6.276218;106.723718;RS Premier Bintaro;;;
5.;-6.292023;106.705352;RS Ichsan Medical Centre Bintaro;;;
6.;-6.299048;106.739594;RSIA Cinta Kasih;;;
7.;-6.308047;106.756634;RS Syarif Hidayatullah;;;
8.;-6.337604;106.738688;RSUD Kota Tangerang Selatan;;;
9.;-6.344076;106.719084;RS Permata Pamulang;;;
10.;-6.346700;106.685683;RSU Hermina Serpong;;;
11.;-6.356138;106.713790;PKM Bhakti Jaya;;;
12.;-6.330379;106.715371;PKM Benda Baru;;;
13.;-6.265488;106.657028;PKM Pondok Jagung;;;
14.;-6.324917;106.664668;PKM Serpong 2;;;
15.;-6.235348;106.673915;RS Insan Permata Paku Jaya;;;
16.;-6.309572;106.747273;PKM Ciputat;;;
17.;-6.287613;106.717366;PKM Sawah Baru;;;
18.;-6.269439;106.717416;Klinik Tridatama Husada Pondok Jaya;;;
19.;-6.342526;106.672378;Klinik Polres Tangsel;;;
20.;-6.274311;106.692446;PKM Parigi;;;
